epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.025,1.51429,1.29965,1.40833,0.76729,0.26925,0.29334,0.14821,1.47118,1.01617,1.37755,0.000332959,0.000332959,0.0670371
2,1061.89,1.43845,1.07115,1.40395,0.65136,0.30644,0.29272,0.15667,1.41978,0.94587,1.34975,0.000659696,0.000659696,0.0340305
3,1587.1,1.40068,1.01505,1.3706,0.69624,0.28067,0.32649,0.17171,1.42518,0.88593,1.34015,0.000979833,0.000979833,0.00101729
4,2110.91,1.36535,0.95305,1.35103,0.84979,0.31671,0.35671,0.19343,1.33271,0.85325,1.29534,0.0009703,0.0009703,0.0009703
5,2632.58,1.33703,0.91716,1.33562,0.70924,0.3625,0.39254,0.21308,1.3336,0.83045,1.28012,0.0009604,0.0009604,0.0009604
6,3153.54,1.30809,0.88181,1.30909,0.44911,0.4289,0.41812,0.22477,1.31683,0.79651,1.27817,0.0009505,0.0009505,0.0009505
7,3676.54,1.2955,0.84946,1.30626,0.69147,0.44391,0.44287,0.23239,1.29446,0.75115,1.26476,0.0009406,0.0009406,0.0009406
8,4198.92,1.27709,0.8344,1.29855,0.67941,0.45272,0.44879,0.24638,1.28619,0.75643,1.26148,0.0009307,0.0009307,0.0009307
9,4721.6,1.26863,0.81652,1.29137,0.58574,0.42698,0.4777,0.26466,1.29762,0.7439,1.25987,0.0009208,0.0009208,0.0009208
10,5242.9,1.25567,0.8045,1.27979,0.57324,0.45876,0.48198,0.26184,1.29073,0.72097,1.25412,0.0009109,0.0009109,0.0009109
11,5764.83,1.24727,0.7879,1.27452,0.6367,0.44864,0.49014,0.27336,1.28576,0.71253,1.24653,0.000901,0.000901,0.000901
12,6287.27,1.24389,0.78017,1.27153,0.45353,0.45422,0.45821,0.25213,1.30106,0.72169,1.25893,0.0008911,0.0008911,0.0008911
13,6808.39,1.2323,0.76037,1.26571,0.61696,0.4815,0.50261,0.28065,1.25593,0.67422,1.23604,0.0008812,0.0008812,0.0008812
14,7330.03,1.22036,0.75046,1.25732,0.55939,0.495,0.50856,0.28768,1.24525,0.69337,1.2249,0.0008713,0.0008713,0.0008713
15,7852,1.22433,0.74927,1.26246,0.58595,0.51209,0.52571,0.3048,1.24178,0.67229,1.22376,0.0008614,0.0008614,0.0008614
16,8374.81,1.21032,0.73998,1.25556,0.83307,0.45177,0.51653,0.29896,1.24288,0.6828,1.2209,0.0008515,0.0008515,0.0008515
17,8898.98,1.209,0.73132,1.24751,0.69322,0.52894,0.53609,0.31408,1.22979,0.65625,1.21859,0.0008416,0.0008416,0.0008416
18,9422.12,1.19986,0.71701,1.24513,0.57668,0.5301,0.52937,0.31018,1.22938,0.65275,1.21362,0.0008317,0.0008317,0.0008317
19,9944.79,1.19948,0.71385,1.24481,0.57198,0.5332,0.53622,0.31444,1.22861,0.63751,1.22035,0.0008218,0.0008218,0.0008218
20,10467.4,1.19152,0.70422,1.23992,0.61629,0.53605,0.5554,0.32373,1.22135,0.63888,1.21464,0.0008119,0.0008119,0.0008119
21,10990.5,1.18823,0.70496,1.24112,0.556,0.55602,0.56781,0.33246,1.22081,0.63156,1.21128,0.000802,0.000802,0.000802
22,11514,1.18387,0.69396,1.23569,0.56875,0.55754,0.56352,0.33025,1.21444,0.61949,1.21267,0.0007921,0.0007921,0.0007921
23,12037.7,1.17283,0.68528,1.23091,0.5841,0.56086,0.57382,0.33494,1.2088,0.63157,1.20517,0.0007822,0.0007822,0.0007822
24,12560.9,1.17131,0.68464,1.23178,0.64968,0.55116,0.58068,0.34066,1.20634,0.61484,1.20236,0.0007723,0.0007723,0.0007723
25,13085.1,1.17124,0.67824,1.22826,0.64167,0.57928,0.58735,0.34114,1.21747,0.6041,1.20908,0.0007624,0.0007624,0.0007624
26,13609.2,1.16768,0.67698,1.22661,0.66999,0.54755,0.6074,0.35322,1.20676,0.60341,1.20375,0.0007525,0.0007525,0.0007525
27,14132.8,1.16138,0.67162,1.22694,0.62126,0.59399,0.59209,0.34544,1.21834,0.59979,1.2109,0.0007426,0.0007426,0.0007426
28,14657.9,1.1529,0.66397,1.21772,0.61322,0.61466,0.60382,0.35515,1.20476,0.60018,1.20037,0.0007327,0.0007327,0.0007327
29,15182.5,1.15017,0.6593,1.2155,0.66221,0.60963,0.62555,0.36898,1.19997,0.59467,1.20221,0.0007228,0.0007228,0.0007228
30,15707.1,1.15017,0.65648,1.21918,0.59641,0.66554,0.6369,0.37465,1.19778,0.58702,1.20073,0.0007129,0.0007129,0.0007129
31,16232.4,1.14514,0.64633,1.21542,0.64203,0.60706,0.63176,0.37214,1.19407,0.57982,1.1969,0.000703,0.000703,0.000703
32,16756.2,1.14465,0.64709,1.21325,0.62184,0.61361,0.61434,0.37193,1.19417,0.58064,1.19916,0.0006931,0.0006931,0.0006931
33,17280.7,1.14276,0.64503,1.21147,0.62182,0.62273,0.61355,0.37068,1.19482,0.57989,1.19697,0.0006832,0.0006832,0.0006832
34,17805.8,1.13679,0.63761,1.20859,0.68277,0.61234,0.63056,0.3734,1.20029,0.58272,1.1999,0.0006733,0.0006733,0.0006733
35,18331.3,1.13267,0.62971,1.20225,0.63968,0.6232,0.63438,0.37621,1.19504,0.57425,1.19631,0.0006634,0.0006634,0.0006634
36,18857.3,1.12961,0.63469,1.20724,0.64782,0.61478,0.62985,0.37787,1.18986,0.57175,1.19623,0.0006535,0.0006535,0.0006535
37,19382.8,1.12618,0.63063,1.20495,0.62472,0.61777,0.62682,0.3764,1.19383,0.56964,1.19665,0.0006436,0.0006436,0.0006436
38,19908.3,1.12263,0.62187,1.19927,0.6575,0.60591,0.6288,0.37428,1.19102,0.56877,1.19526,0.0006337,0.0006337,0.0006337
39,20433,1.11692,0.61819,1.20016,0.67738,0.61498,0.63534,0.38248,1.18854,0.56016,1.19268,0.0006238,0.0006238,0.0006238
40,20958.8,1.1177,0.61853,1.19966,0.67872,0.61253,0.64369,0.38429,1.19098,0.56638,1.19448,0.0006139,0.0006139,0.0006139
41,21485,1.11978,0.61481,1.1983,0.66108,0.63176,0.65962,0.39608,1.18854,0.56063,1.19512,0.000604,0.000604,0.000604
42,22011.5,1.11004,0.60878,1.19423,0.67916,0.6206,0.65381,0.38955,1.18596,0.55652,1.19328,0.0005941,0.0005941,0.0005941
43,22538,1.10893,0.6046,1.19528,0.67275,0.64298,0.66602,0.39707,1.18805,0.55649,1.19559,0.0005842,0.0005842,0.0005842
44,23064.7,1.09597,0.59531,1.18705,0.67478,0.63429,0.65745,0.39226,1.187,0.55554,1.19473,0.0005743,0.0005743,0.0005743
45,23589.6,1.10147,0.5993,1.18786,0.68104,0.64777,0.6645,0.39811,1.18129,0.55246,1.19132,0.0005644,0.0005644,0.0005644
46,24115.6,1.09694,0.59411,1.18497,0.65975,0.64901,0.65554,0.39404,1.182,0.54981,1.19323,0.0005545,0.0005545,0.0005545
47,24641.4,1.0931,0.59244,1.18295,0.68396,0.64473,0.66061,0.39362,1.18175,0.54729,1.19289,0.0005446,0.0005446,0.0005446
48,25167.4,1.09178,0.58232,1.18227,0.66868,0.65968,0.6592,0.39373,1.18394,0.5483,1.19515,0.0005347,0.0005347,0.0005347
49,25692.8,1.08647,0.58011,1.1775,0.67837,0.65079,0.66362,0.39345,1.18087,0.5435,1.19371,0.0005248,0.0005248,0.0005248
50,26219.1,1.08304,0.58009,1.17573,0.6712,0.64387,0.66303,0.39085,1.18236,0.54377,1.19472,0.0005149,0.0005149,0.0005149
51,26745,1.08011,0.57862,1.17617,0.6902,0.64087,0.66519,0.3915,1.18191,0.54026,1.1944,0.000505,0.000505,0.000505
52,27270.9,1.0799,0.57491,1.17655,0.68953,0.64597,0.66144,0.39311,1.18195,0.5404,1.19531,0.0004951,0.0004951,0.0004951
53,27796.5,1.06919,0.56829,1.16912,0.6624,0.65498,0.66395,0.39409,1.18187,0.53974,1.19645,0.0004852,0.0004852,0.0004852
54,28321.2,1.06409,0.56609,1.16431,0.68218,0.63822,0.66189,0.39372,1.17963,0.53984,1.19496,0.0004753,0.0004753,0.0004753
55,28846.5,1.07235,0.56271,1.16959,0.66867,0.64174,0.65801,0.39374,1.1801,0.53801,1.19554,0.0004654,0.0004654,0.0004654
